s3,http,run
s3://sra-pub-src-14/SRR12570833/Sangue_39_S4_L004_R2_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570833/Sangue_39_S4_L004_R2_001.fastq.gz.1,SRR12570833
s3://sra-pub-src-11/SRR12570834/Sangue_39_S1_L002_R1_001.fastq.gz.1,https://sra-pub-src-11.s3.amazonaws.com/SRR12570834/Sangue_39_S1_L002_R1_001.fastq.gz.1,SRR12570834
s3://sra-pub-src-11/SRR12570834/Sangue_39_S1_L002_R2_001.fastq.gz.1,https://sra-pub-src-11.s3.amazonaws.com/SRR12570834/Sangue_39_S1_L002_R2_001.fastq.gz.1,SRR12570834
s3://sra-pub-src-12/SRR12570835/Sangue_39_S1_L003_R1_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570835/Sangue_39_S1_L003_R1_001.fastq.gz.1,SRR12570835
s3://sra-pub-src-12/SRR12570835/Sangue_39_S1_L003_R2_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570835/Sangue_39_S1_L003_R2_001.fastq.gz.1,SRR12570835
s3://sra-pub-src-14/SRR12570836/Sangue_39_S1_L004_R1_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570836/Sangue_39_S1_L004_R1_001.fastq.gz.1,SRR12570836
s3://sra-pub-src-14/SRR12570836/Sangue_39_S1_L004_R2_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570836/Sangue_39_S1_L004_R2_001.fastq.gz.1,SRR12570836
s3://sra-pub-src-9/SRR12570837/Sangue_39_S2_L001_R1_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570837/Sangue_39_S2_L001_R1_001.fastq.gz.1,SRR12570837
s3://sra-pub-src-9/SRR12570837/Sangue_39_S2_L001_R2_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570837/Sangue_39_S2_L001_R2_001.fastq.gz.1,SRR12570837
s3://sra-pub-src-14/SRR12570838/Sangue_39_S2_L002_R1_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570838/Sangue_39_S2_L002_R1_001.fastq.gz.1,SRR12570838
s3://sra-pub-src-14/SRR12570838/Sangue_39_S2_L002_R2_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570838/Sangue_39_S2_L002_R2_001.fastq.gz.1,SRR12570838
s3://sra-pub-src-13/SRR12570839/Sangue_39_S2_L003_R1_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570839/Sangue_39_S2_L003_R1_001.fastq.gz.1,SRR12570839
s3://sra-pub-src-13/SRR12570839/Sangue_39_S2_L003_R2_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570839/Sangue_39_S2_L003_R2_001.fastq.gz.1,SRR12570839
